,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3 hrs),Snow inches (last 3 hrs)
0,Tasiilaq,GL,2020-04-19 18:25:11,65.61,-37.64,33.8,69,99,16.11,light snow,0.0,0.43
1,Port Alfred,ZA,2020-04-19 18:20:38,-33.59,26.89,77.63,57,20,14.81,few clouds,0.0,0.43
2,Kavieng,PG,2020-04-19 18:21:21,-2.57,150.8,83.61,71,23,4.18,few clouds,0.0,0.43
3,Iqaluit,CA,2020-04-19 18:22:11,63.75,-68.51,1.4,70,5,3.36,clear sky,0.0,0.43
4,Saint George,US,2020-04-19 18:24:58,37.1,-113.58,66.99,42,1,3.36,clear sky,0.0,0.43
5,Severo-Kurilsk,RU,2020-04-19 18:21:05,50.68,156.12,26.42,90,9,14.27,clear sky,0.0,0.43
6,Hirara,JP,2020-04-19 18:26:27,24.8,125.28,75.16,90,59,17.69,light rain,0.76,0.43
7,Esil,KZ,2020-04-19 18:26:28,51.96,66.4,53.2,66,88,0.69,overcast clouds,0.0,0.43
8,Keuruu,FI,2020-04-19 18:26:28,62.27,24.7,44.6,56,88,8.05,overcast clouds,0.0,0.43
9,Yellowknife,CA,2020-04-19 18:24:42,62.46,-114.35,23.0,62,20,14.99,few clouds,0.0,0.43
10,Port Macquarie,AU,2020-04-19 18:23:42,-31.43,152.92,55.99,97,10,5.79,clear sky,0.0,0.43
11,Atuona,PF,2020-04-19 18:20:27,-9.8,-139.03,82.45,76,92,15.55,light rain,0.32,0.43
12,Busselton,AU,2020-04-19 18:23:28,-33.65,115.33,55.99,58,97,14.7,overcast clouds,0.0,0.43
13,Ilulissat,GL,2020-04-19 18:22:47,69.22,-51.1,26.6,53,52,20.8,broken clouds,0.0,0.43
14,Zhuhai,CN,2020-04-19 18:26:29,22.28,113.57,77.0,88,40,6.93,scattered clouds,0.0,0.43
15,Rawson,AR,2020-04-19 18:20:52,-43.3,-65.1,65.41,28,91,19.33,overcast clouds,0.0,0.43
16,Hofn,IS,2020-04-19 18:21:46,64.25,-15.21,44.42,85,100,7.54,overcast clouds,0.0,0.43
17,Magaria,NE,2020-04-19 18:26:30,13.0,8.91,83.14,12,49,3.0,scattered clouds,0.0,0.43
18,Tuktoyaktuk,CA,2020-04-19 18:23:02,69.45,-133.04,6.8,84,90,14.99,light snow,0.0,0.43
19,Minab,IR,2020-04-19 18:24:33,27.15,57.08,75.2,83,100,2.24,overcast clouds,0.0,0.43
20,Clyde River,CA,2020-04-19 18:25:24,70.47,-68.59,6.8,65,20,19.46,few clouds,0.0,0.43
