,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Hirara,JP,75.16,light rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
11,Atuona,PF,82.45,light rain,-9.8,-139.03,Villa Enata
21,Mataura,NZ,44.01,light rain,-46.19,168.86,Ellie's Villa
33,Port Lincoln,AU,63.25,light rain,-34.73,135.87,Port Lincoln Hotel
37,Saint-Philippe,RE,77.0,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
39,Kambove,CD,62.22,light rain,-10.88,26.6,Couvant des soeurs catholiques
45,Cayenne,GF,84.2,moderate rain,4.93,-52.33,Hôtel Le Dronmi
56,Padang,ID,78.48,light rain,-0.95,100.35,Mercure Padang
67,Jurado,CO,83.35,moderate rain,7.11,-77.76,
78,Carutapera,BR,83.35,light rain,-1.2,-46.02,Lidera
82,Teruel,ES,60.8,moderate rain,40.67,-0.67,La Parra
93,Warora,IN,91.9,light rain,20.23,79.0,Hotel Centre Point
115,Nsanje,MW,73.65,light rain,-16.92,35.26,Nsanje Discovery Lodge
128,Saint-Joseph,RE,77.0,light rain,-21.37,55.62,"""Plantation Bed and Breakfast"
132,Linjiang,CN,44.62,light rain,41.81,126.91,Mingmen Business Hotel
139,Guangyuan,CN,51.01,light rain,32.44,105.82,Guangyuan Poetry Hotel
145,Faya,SA,66.2,light rain,18.39,42.45,مقبرة ال مجمل
155,Namibe,AO,76.14,light rain,-15.2,12.15,Chik-Chik Namibe
158,Meulaboh,ID,80.02,light rain,4.14,96.13,Kost Pria
164,Bokino,RU,42.04,light rain,52.64,41.46,"Angel, Gostinichnyy Kompleks"
171,Angoram,PG,76.1,light rain,-4.06,144.07,
178,Alugan,PH,81.54,light rain,12.22,125.48,BEMBEM RAIN FEED RESORT
193,Ahipara,NZ,60.31,light rain,-35.17,173.17,Ahipara Holiday Park
195,Ahero,KE,68.05,light rain,-0.17,34.92,Joy Star Hotel
205,Kampot,KH,81.86,light rain,10.62,104.18,Champa Lodge
207,Tiznit,MA,58.03,light rain,29.58,-9.5,
210,Rafai,CF,77.9,light rain,4.95,23.92,
214,Arzgir,RU,54.05,light rain,45.37,44.22,
220,Bunia,CD,64.56,light rain,1.57,30.25,Gold Star International Hotel
226,Popondetta,PG,76.08,light rain,-8.75,148.25,Timos Transit House
237,Poum,NC,79.3,moderate rain,-20.23,164.02,Gîte kajeon
249,Caravelas,BR,77.41,light rain,-17.71,-39.25,Pousada dos Navegantes
253,Tuatapere,NZ,44.01,light rain,-46.13,167.68,Tom Cruse Refreshment Company
258,Dawei,MM,77.52,light rain,14.08,98.2,Hotel Dawei
263,Aitape,PG,79.66,light rain,-3.14,142.35,
270,Lejanias,CO,79.34,moderate rain,3.53,-74.02,Hotel Campestre La Contea
278,Canavieiras,BR,79.23,light rain,-15.68,-38.95,Bahiadomizil
280,Jacareacanga,BR,76.73,light rain,-6.22,-57.75,Casa do Ian😎
286,Isangel,VU,78.89,light rain,-19.55,169.27,Volcano Sea View Tree House
289,Balikpapan,ID,76.32,light rain,-1.27,116.83,Grand Jatra Hotel Balikpapan
292,Lumphat,KH,75.34,light rain,13.49,106.98,Lumphat Homestay
297,Saint Stephen,GB,57.2,light rain,50.33,-4.9,4 stepaside corner
312,Mumford,GH,84.27,light rain,5.26,-0.76,Spanish Villa
322,Boende,CD,73.62,light rain,-0.22,20.87,
331,Shingu,JP,56.88,light rain,33.73,135.98,新宮ユーアイホテル
333,Sorong,ID,76.8,light rain,-0.88,131.25,The Waigo Hotel
338,Kieta,PG,79.72,light rain,-6.22,155.63,
