City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Laguna,US,2020-04-18 03:20:05,38.42,-121.42,57.99,67,20,9.17
1,Hobart,AU,2020-04-18 03:20:16,-42.88,147.33,55.99,47,75,10.29
2,Bredasdorp,ZA,2020-04-18 03:21:44,-34.53,20.04,57.99,87,100,4.7
3,Mezhdurechensk,RU,2020-04-18 03:21:23,53.69,88.06,46.89,51,0,8.48
4,Ushuaia,AR,2020-04-18 03:21:45,-54.8,-68.3,44.6,75,40,4.7
5,Unguia,CO,2020-04-18 03:21:45,8.04,-77.09,75.04,86,77,3.89
6,Atuona,PF,2020-04-18 03:17:31,-9.8,-139.03,82.35,75,84,13.06
7,Tiksi,RU,2020-04-18 03:21:45,71.69,128.87,9.32,93,100,6.04
8,Punta Arenas,CL,2020-04-18 03:21:46,-53.15,-70.92,46.4,81,75,16.11
9,Santiago Del Estero,AR,2020-04-18 03:21:46,-27.8,-64.26,63.34,51,0,7.27
10,Port Elizabeth,ZA,2020-04-18 03:21:46,-33.92,25.57,60.8,87,20,4.7
11,Tuktoyaktuk,CA,2020-04-18 03:21:47,69.45,-133.04,14.0,92,90,12.75
12,Mataura,NZ,2020-04-18 03:17:15,-46.19,168.86,60.01,51,35,8.99
13,Cape Town,ZA,2020-04-18 03:18:34,-33.93,18.42,46.4,87,55,2.24
14,Hermanus,ZA,2020-04-18 03:21:48,-34.42,19.23,57.99,77,84,5.01
15,Carnarvon,AU,2020-04-18 03:21:48,-24.87,113.63,82.4,69,95,10.29
16,Arraial Do Cabo,BR,2020-04-18 03:18:34,-22.97,-42.03,73.8,70,73,10.36
17,Lorengau,PG,2020-04-18 03:17:52,-2.02,147.27,84.31,69,59,3.89
18,Saint-Joseph,RE,2020-04-18 03:21:49,-21.37,55.62,73.4,73,17,10.29
19,Saint-Augustin,CA,2020-04-18 03:21:49,51.23,-58.65,23.63,90,100,9.22
20,Vao,NC,2020-04-18 03:21:49,-22.67,167.48,74.79,69,51,9.75
21,Hithadhoo,MV,2020-04-18 03:21:50,-0.6,73.08,83.88,79,10,14.45
22,Bluff,NZ,2020-04-18 03:21:50,-46.6,168.33,60.01,51,47,8.99
23,Kuytun,RU,2020-04-18 03:20:17,54.34,101.5,37.53,68,99,9.93
24,Isangel,VU,2020-04-18 03:21:50,-19.55,169.27,84.2,74,75,5.82
25,Spring Valley,US,2020-04-18 03:20:05,36.11,-115.25,70.0,22,75,8.05
26,Otane,NZ,2020-04-18 03:20:09,-39.88,176.63,62.01,72,0,5.99
27,Dafeng,CN,2020-04-18 03:21:51,23.45,108.59,79.59,66,100,8.3
28,Puerto Ayora,EC,2020-04-18 03:21:51,-0.74,-90.35,75.99,93,82,1.01
29,Poltavka,RU,2020-04-18 03:21:52,54.37,71.76,56.97,37,77,19.66
30,Alofi,NU,2020-04-18 03:21:52,-19.06,-169.92,84.2,70,12,14.99
31,Piranshahr,IR,2020-04-18 03:21:52,36.7,45.14,44.62,43,0,0.67
32,Kazerun,IR,2020-04-18 03:21:52,29.62,51.65,62.47,37,0,2.13
33,Butaritari,KI,2020-04-18 03:19:30,3.07,172.79,82.33,80,82,14.81
34,Khani,GE,2020-04-18 03:21:53,41.96,42.96,39.2,93,92,3.36
35,Mehamn,NO,2020-04-18 03:21:53,71.04,27.85,34.92,93,100,23.24
36,Gizo,SB,2020-04-18 03:21:53,-8.1,156.84,85.05,67,58,6.31
37,Half Moon Bay,US,2020-04-18 03:19:47,37.46,-122.43,57.0,81,90,9.17
38,Pangnirtung,CA,2020-04-18 03:21:54,66.15,-65.71,1.42,88,100,3.02
39,Rikitea,PF,2020-04-18 03:21:54,-23.12,-134.97,77.36,63,1,1.99
40,Gimli,CA,2020-04-18 03:21:54,50.63,-96.99,45.0,50,100,8.01
41,Mopipi,BW,2020-04-18 03:21:55,-21.18,24.88,70.32,52,0,12.08
42,Lagoa,PT,2020-04-18 03:21:55,39.05,-27.98,60.37,72,58,11.7
43,Airai,TL,2020-04-18 03:17:44,-8.93,125.41,73.24,52,94,4.32
44,Port Alfred,ZA,2020-04-18 03:21:55,-33.59,26.89,64.0,94,55,3.0
45,Mount Isa,AU,2020-04-18 03:17:56,-20.73,139.5,93.2,18,9,6.93
46,San Ignacio,BZ,2020-04-18 03:21:56,17.16,-89.07,78.01,83,93,4.0
47,Waddan,LY,2020-04-18 03:21:56,29.16,16.14,62.49,50,0,5.08
48,Faanui,PF,2020-04-18 03:17:22,-16.48,-151.75,82.85,67,100,3.98
49,Kapaa,US,2020-04-18 03:21:57,22.08,-159.32,80.6,65,1,12.75
50,Jacareacanga,BR,2020-04-18 03:21:57,-6.22,-57.75,73.06,94,65,2.39
51,Quatre Cocos,MU,2020-04-18 03:21:57,-20.21,57.76,77.0,83,75,12.75
52,Namibe,AO,2020-04-18 03:21:57,-15.2,12.15,73.78,71,81,5.99
53,Talnakh,RU,2020-04-18 03:18:30,69.49,88.4,30.2,86,97,24.61
54,Liuzhou,CN,2020-04-18 03:21:58,24.31,109.39,75.4,76,100,11.18
55,Nikko,JP,2020-04-18 03:21:58,36.75,139.62,55.99,97,100,10.0
56,Kaitangata,NZ,2020-04-18 03:21:58,-46.28,169.85,55.99,78,96,23.0
57,Bambous Virieux,MU,2020-04-18 03:21:58,-20.34,57.76,77.0,83,75,12.75
58,The Valley,AI,2020-04-18 03:20:23,18.22,-63.06,80.6,74,20,11.41
59,Provideniya,RU,2020-04-18 03:21:59,64.38,-173.3,26.51,95,100,20.11
60,Norman Wells,CA,2020-04-18 03:19:19,65.28,-126.83,39.2,60,90,2.24
61,Yellowknife,CA,2020-04-18 03:21:59,62.46,-114.35,24.8,68,75,6.93
62,Rocha,UY,2020-04-18 03:17:26,-34.48,-54.33,56.98,91,0,4.68
63,Busselton,AU,2020-04-18 03:17:10,-33.65,115.33,75.0,37,98,7.09
64,Vaini,TO,2020-04-18 03:22:00,-21.2,-175.2,82.4,69,20,9.17
65,Pevek,RU,2020-04-18 03:22:00,69.7,170.31,8.28,93,23,9.26
66,Cherskiy,RU,2020-04-18 03:22:00,68.75,161.3,10.63,91,49,9.82
67,Tessalit,ML,2020-04-18 03:22:01,20.2,1.01,81.27,17,0,6.76
68,East London,ZA,2020-04-18 03:22:01,-33.02,27.91,66.22,84,12,11.32
69,Ribeira Grande,PT,2020-04-18 03:22:01,38.52,-28.7,60.24,80,67,12.75
70,Mount Darwin,ZW,2020-04-18 03:22:02,-16.77,31.58,63.57,70,11,5.99
71,Albany,US,2020-04-18 03:17:09,42.6,-73.97,37.0,79,100,3.87
72,Chuy,UY,2020-04-18 03:19:32,-33.7,-53.46,60.62,83,2,5.37
73,Balikpapan,ID,2020-04-18 03:22:02,-1.27,116.83,89.6,66,40,8.05
74,Markala,ML,2020-04-18 03:22:03,13.7,-6.07,88.92,13,95,7.05
75,Harper,LR,2020-04-18 03:22:03,4.38,-7.72,81.27,87,97,10.6
76,Viedma,AR,2020-04-18 03:19:29,-40.81,-63.0,73.76,39,51,19.8
77,Jamestown,US,2020-04-18 03:22:03,42.1,-79.24,33.01,84,90,4.7
78,Athabasca,CA,2020-04-18 03:22:03,54.72,-113.29,35.69,71,99,10.38
79,Krasnoselkup,RU,2020-04-18 03:22:04,65.7,82.47,35.85,98,100,17.87
80,Saurimo,AO,2020-04-18 03:19:33,-9.66,20.39,65.59,72,100,5.14
81,Raudeberg,NO,2020-04-18 03:18:25,61.99,5.14,37.99,74,23,5.82
82,Saint-Philippe,RE,2020-04-18 03:19:25,-21.36,55.77,73.4,73,38,10.29
83,Longyearbyen,SJ,2020-04-18 03:22:06,78.22,15.64,30.2,63,75,8.05
84,Kahului,US,2020-04-18 03:20:11,20.89,-156.47,80.6,54,20,19.46
85,Ayan,RU,2020-04-18 03:22:06,56.45,138.17,24.91,80,80,13.67
86,San Cristobal,VE,2020-04-18 03:22:07,7.77,-72.22,68.23,54,88,1.72
87,Leningradskiy,RU,2020-04-18 03:17:49,69.38,178.42,11.07,94,100,10.42
88,Alice Springs,AU,2020-04-18 03:20:50,-23.7,133.88,80.6,28,75,10.29
89,Lianran,CN,2020-04-18 03:22:08,24.92,102.48,71.01,45,40,22.37
90,Ola,RU,2020-04-18 03:22:09,59.58,151.28,23.43,95,100,17.87
91,Lompoc,US,2020-04-18 03:22:09,34.64,-120.46,55.4,82,90,6.93
92,Bilma,NE,2020-04-18 03:22:09,18.69,12.92,80.44,13,0,8.23
93,Deputatskiy,RU,2020-04-18 03:22:10,69.3,139.9,-2.02,82,9,3.06
94,Cooma,AU,2020-04-18 03:19:19,-36.23,149.13,62.6,33,42,6.93
95,Hilo,US,2020-04-18 03:22:10,19.73,-155.09,78.8,57,90,8.05
96,Nadym,RU,2020-04-18 03:22:11,65.53,72.52,37.27,98,100,17.94
97,Barrow,US,2020-04-18 03:22:11,71.29,-156.79,10.4,85,40,18.34
98,Hofn,IS,2020-04-18 03:22:11,64.25,-15.21,42.24,83,100,10.0
99,Dryden,CA,2020-04-18 03:22:11,49.78,-92.75,37.4,51,90,11.41
100,Georgetown,MY,2020-04-18 03:20:14,5.41,100.34,89.6,70,20,2.24
101,Am Timan,TD,2020-04-18 03:22:12,11.03,20.28,75.4,13,42,3.96
102,Show Low,US,2020-04-18 03:19:07,34.25,-110.03,51.8,29,1,6.93
103,Tura,IN,2020-04-18 03:22:13,25.52,90.22,77.02,70,93,5.12
104,Caravelas,BR,2020-04-18 03:19:57,-17.71,-39.25,77.63,86,17,14.45
105,Tasiilaq,GL,2020-04-18 03:17:46,65.61,-37.64,35.6,55,73,13.87
106,Nakhon Nayok,TH,2020-04-18 03:22:13,14.2,101.21,90.0,80,94,3.44
107,Itaituba,BR,2020-04-18 03:22:14,-4.28,-55.98,73.4,96,86,2.21
108,Stornoway,GB,2020-04-18 03:22:14,58.21,-6.39,42.8,81,0,13.87
109,Hay River,CA,2020-04-18 03:19:35,60.82,-115.8,32.0,96,90,6.93
110,Siniscola,IT,2020-04-18 03:22:14,40.57,9.69,58.48,85,100,5.41
111,Sao Filipe,CV,2020-04-18 03:19:29,14.9,-24.5,70.12,76,0,18.5
112,Flinders,AU,2020-04-18 03:22:15,-34.58,150.86,72.0,48,0,1.99
113,Ituiutaba,BR,2020-04-18 03:22:15,-18.97,-49.47,69.01,77,67,5.48
